<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20191004,140000,2266.0000000,2268.4000000,2262.8000000,2267.8000000,2510
YNDX,60,20191004,150000,2267.8000000,2268.4000000,2264.0000000,2268.0000000,5257
YNDX,60,20191004,160000,2267.0000000,2271.6000000,2256.2000000,2266.4000000,17077
YNDX,60,20191004,170000,2266.2000000,2285.0000000,2258.2000000,2285.0000000,49668
YNDX,60,20191004,180000,2285.0000000,2288.0000000,2262.2000000,2274.0000000,66570
YNDX,60,20191004,190000,2274.0000000,2278.4000000,2272.2000000,2274.4000000,27256
YNDX,60,20191007,110000,2271.4000000,2284.6000000,2264.8000000,2271.8000000,24807
YNDX,60,20191007,120000,2273.2000000,2284.0000000,2265.2000000,2282.8000000,14123
YNDX,60,20191007,130000,2284.0000000,2285.0000000,2282.0000000,2285.0000000,10445
YNDX,60,20191007,140000,2285.0000000,2287.2000000,2283.2000000,2286.4000000,3522
YNDX,60,20191007,150000,2287.0000000,2289.8000000,2284.6000000,2288.6000000,4574
YNDX,60,20191007,160000,2289.2000000,2289.6000000,2281.6000000,2285.2000000,4904
YNDX,60,20191007,170000,2285.2000000,2299.8000000,2284.8000000,2286.0000000,26083
YNDX,60,20191007,180000,2285.8000000,2288.8000000,2277.2000000,2286.0000000,37319
YNDX,60,20191007,190000,2287.0000000,2295.8000000,2283.8000000,2284.2000000,15483
YNDX,60,20191008,110000,2295.8000000,2296.6000000,2285.2000000,2290.4000000,16034
YNDX,60,20191008,120000,2289.0000000,2289.0000000,2275.2000000,2280.0000000,13694
YNDX,60,20191008,130000,2280.0000000,2280.0000000,2270.2000000,2273.2000000,15985
YNDX,60,20191008,140000,2271.4000000,2281.0000000,2270.0000000,2281.0000000,13797
YNDX,60,20191008,150000,2281.6000000,2282.8000000,2273.0000000,2280.0000000,11544
YNDX,60,20191008,160000,2278.6000000,2279.8000000,2272.0000000,2275.0000000,13350
YNDX,60,20191008,170000,2275.0000000,2289.0000000,2274.6000000,2287.4000000,17428
YNDX,60,20191008,180000,2287.4000000,2299.8000000,2284.0000000,2298.6000000,35229
YNDX,60,20191008,190000,2298.6000000,2304.8000000,2292.2000000,2295.2000000,27445
YNDX,60,20191009,110000,2306.0000000,2317.0000000,2303.8000000,2314.0000000,19899
YNDX,60,20191009,120000,2313.8000000,2314.4000000,2309.0000000,2313.4000000,7953
YNDX,60,20191009,130000,2312.0000000,2314.4000000,2307.8000000,2312.4000000,14728
YNDX,60,20191009,140000,2311.2000000,2313.0000000,2308.4000000,2310.8000000,5230
YNDX,60,20191009,150000,2312.2000000,2314.4000000,2310.2000000,2314.0000000,5920
YNDX,60,20191009,160000,2314.0000000,2315.0000000,2311.6000000,2313.8000000,7655
YNDX,60,20191009,170000,2314.0000000,2323.4000000,2309.0000000,2314.0000000,35166
YNDX,60,20191009,180000,2315.0000000,2323.0000000,2310.6000000,2322.0000000,43638
YNDX,60,20191009,190000,2323.0000000,2323.0000000,2310.0000000,2312.0000000,15926
YNDX,60,20191010,110000,2315.0000000,2316.6000000,2303.2000000,2307.0000000,30168
YNDX,60,20191010,120000,2307.0000000,2316.0000000,2306.0000000,2307.4000000,16538
YNDX,60,20191010,130000,2307.4000000,2310.0000000,2304.4000000,2305.2000000,13119
YNDX,60,20191010,140000,2305.8000000,2312.8000000,2305.8000000,2310.2000000,6637
YNDX,60,20191010,150000,2309.0000000,2312.4000000,2307.8000000,2312.4000000,3014
YNDX,60,20191010,160000,2312.4000000,2312.4000000,2303.6000000,2310.4000000,24586
YNDX,60,20191010,170000,2310.4000000,2317.4000000,2298.0000000,2305.4000000,52373
YNDX,60,20191010,180000,2307.2000000,2318.6000000,2301.6000000,2317.0000000,34685
YNDX,60,20191010,190000,2317.8000000,2330.0000000,2312.8000000,2327.0000000,45088
YNDX,60,20191011,110000,2314.8000000,2315.0000000,2252.0000000,2255.0000000,105344
YNDX,60,20191011,120000,2255.0000000,2264.8000000,2222.2000000,2227.2000000,188858
YNDX,60,20191011,130000,2227.2000000,2244.0000000,2225.0000000,2229.0000000,149881
YNDX,60,20191011,140000,2228.4000000,2229.0000000,2209.0000000,2210.0000000,82032
YNDX,60,20191011,150000,2211.0000000,2211.0000000,2170.0000000,2179.0000000,237721
YNDX,60,20191011,160000,2178.6000000,2180.0000000,2075.0000000,2087.6000000,638392
YNDX,60,20191011,170000,2086.0000000,2114.0000000,1966.8000000,1968.4000000,1269408
YNDX,60,20191011,180000,1967.6000000,1988.8000000,1855.0000000,1881.4000000,2088311
YNDX,60,20191011,190000,1882.0000000,1900.0000000,1852.4000000,1898.0000000,1222731
YNDX,60,20191014,110000,1936.0000000,1998.0000000,1901.0000000,1987.0000000,1247028
YNDX,60,20191014,120000,1987.0000000,1994.0000000,1955.2000000,1958.0000000,420159
YNDX,60,20191014,130000,1958.0000000,1979.0000000,1955.0000000,1962.4000000,305468
YNDX,60,20191014,140000,1961.0000000,1979.8000000,1950.6000000,1974.8000000,155739
YNDX,60,20191014,150000,1974.0000000,1983.0000000,1969.6000000,1981.8000000,199707
YNDX,60,20191014,160000,1982.0000000,1985.0000000,1968.0000000,1976.0000000,161356
YNDX,60,20191014,170000,1976.0000000,2025.0000000,1975.2000000,1991.4000000,743293
YNDX,60,20191014,180000,1992.4000000,1994.4000000,1963.0000000,1978.0000000,301551
YNDX,60,20191014,190000,1978.8000000,1984.2000000,1967.0000000,1975.6000000,154648
YNDX,60,20191015,110000,1970.2000000,2005.0000000,1965.6000000,1985.0000000,221651
YNDX,60,20191015,120000,1985.0000000,1985.0000000,1972.0000000,1978.4000000,74925
YNDX,60,20191015,130000,1978.0000000,1982.6000000,1975.2000000,1981.6000000,39686
YNDX,60,20191015,140000,1981.6000000,1986.0000000,1978.0000000,1985.8000000,58547
YNDX,60,20191015,150000,1985.8000000,1987.0000000,1981.4000000,1985.4000000,54451
YNDX,60,20191015,160000,1985.0000000,2004.4000000,1982.6000000,1997.8000000,216479
YNDX,60,20191015,170000,1997.6000000,2004.8000000,1975.0000000,1981.6000000,384649
YNDX,60,20191015,180000,1981.6000000,1995.0000000,1977.0000000,1992.6000000,166323
YNDX,60,20191015,190000,1992.8000000,1992.8000000,1986.6000000,1986.6000000,78309
YNDX,60,20191016,110000,1974.8000000,1988.0000000,1971.0000000,1983.2000000,108266
YNDX,60,20191016,120000,1983.2000000,1988.0000000,1975.4000000,1986.8000000,71021
YNDX,60,20191016,130000,1986.8000000,1988.0000000,1979.2000000,1981.2000000,42430
YNDX,60,20191016,140000,1981.4000000,1984.4000000,1980.0000000,1983.2000000,63106
YNDX,60,20191016,150000,1983.2000000,1983.4000000,1976.0000000,1979.0000000,70244
YNDX,60,20191016,160000,1979.0000000,1982.0000000,1975.0000000,1981.8000000,72731
YNDX,60,20191016,170000,1981.8000000,1990.0000000,1961.8000000,1963.6000000,262210
YNDX,60,20191016,180000,1963.6000000,1975.0000000,1943.0000000,1958.8000000,305525
YNDX,60,20191016,190000,1958.0000000,1960.0000000,1949.2000000,1957.2000000,98473
YNDX,60,20191017,110000,1949.4000000,1949.6000000,1903.4000000,1917.0000000,255185
YNDX,60,20191017,120000,1918.8000000,1923.0000000,1907.2000000,1922.6000000,132604
YNDX,60,20191017,130000,1922.6000000,1946.6000000,1920.4000000,1942.4000000,129853
YNDX,60,20191017,140000,1942.4000000,1948.0000000,1936.2000000,1947.2000000,66321
YNDX,60,20191017,150000,1947.2000000,1947.8000000,1930.2000000,1932.2000000,35697
YNDX,60,20191017,160000,1933.8000000,1941.2000000,1932.0000000,1934.0000000,27731
YNDX,60,20191017,170000,1934.6000000,1935.6000000,1920.0000000,1927.2000000,103727
YNDX,60,20191017,180000,1926.2000000,1926.8000000,1912.0000000,1920.4000000,103273
YNDX,60,20191017,190000,1920.4000000,1929.0000000,1918.0000000,1927.0000000,57900
YNDX,60,20191018,110000,1929.6000000,1978.8000000,1929.6000000,1951.6000000,168449
YNDX,60,20191018,120000,1950.8000000,1953.8000000,1946.4000000,1949.0000000,26641
YNDX,60,20191018,130000,1949.0000000,1961.4000000,1948.0000000,1961.4000000,32852
YNDX,60,20191018,140000,1961.4000000,1961.8000000,1956.6000000,1958.0000000,17902
YNDX,60,20191018,150000,1958.6000000,1965.0000000,1952.0000000,1964.6000000,37402
YNDX,60,20191018,160000,1964.8000000,1965.0000000,1958.4000000,1960.0000000,50528
YNDX,60,20191018,170000,1960.0000000,1969.0000000,1944.0000000,1954.0000000,152763
YNDX,60,20191018,180000,1954.0000000,1954.4000000,1926.0000000,1933.4000000,182306
YNDX,60,20191018,190000,1932.2000000,1943.2000000,1928.2000000,1934.0000000,112945
YNDX,60,20191021,110000,2043.2000000,2094.0000000,2030.0000000,2076.0000000,1040974
YNDX,60,20191021,120000,2076.0000000,2116.8000000,2065.6000000,2116.8000000,603603
YNDX,60,20191021,130000,2116.8000000,2142.8000000,2091.0000000,2105.0000000,433022
YNDX,60,20191021,140000,2105.0000000,2117.0000000,2072.4000000,2095.2000000,314893
YNDX,60,20191021,150000,2094.2000000,2097.8000000,2070.4000000,2085.4000000,275748
YNDX,60,20191021,160000,2084.2000000,2095.4000000,2071.2000000,2072.0000000,401969
YNDX,60,20191021,170000,2071.8000000,2106.0000000,2045.6000000,2087.0000000,972079
YNDX,60,20191021,180000,2086.8000000,2098.0000000,2060.0000000,2060.0000000,286933
YNDX,60,20191021,190000,2060.2000000,2064.8000000,2051.0000000,2061.0000000,234813
YNDX,60,20191022,110000,2092.4000000,2110.0000000,2081.4000000,2093.4000000,211329
YNDX,60,20191022,120000,2093.4000000,2099.0000000,2081.0000000,2082.2000000,119729
YNDX,60,20191022,130000,2082.6000000,2094.8000000,2082.0000000,2093.6000000,70792
YNDX,60,20191022,140000,2093.6000000,2094.2000000,2090.0000000,2092.6000000,39821
YNDX,60,20191022,150000,2092.6000000,2096.2000000,2083.6000000,2088.0000000,90957
YNDX,60,20191022,160000,2088.0000000,2089.2000000,2076.6000000,2082.0000000,130253
YNDX,60,20191022,170000,2081.0000000,2091.0000000,2066.4000000,2068.4000000,230698
